R,VROT,VROT_ERR_MIN,VROT_ERR_MAX
4,224.5,224.5,224.5
4.009,210.576,209.076,212.076
4.047,212.282,210.782,213.782
4.094,212.565,211.065,214.065
4.12,235.308,235.308,235.308
4.12,230.108,230.108,230.108
4.141,214.147,212.647,215.647
4.188,214.929,213.429,216.429
4.235,213.212,211.712,214.712
4.239,212.984,212.984,212.984
4.239,209.084,209.084,209.084
4.264,206.841,205.641,208.041
4.311,207.024,205.524,208.524
4.348,208.629,207.129,210.129
4.357,212.728,212.728,212.728
4.357,205.328,205.328,205.328
4.386,208.035,206.035,210.035
4.4,215,195,235
4.424,219.141,217.641,220.641
4.452,215.371,211.871,218.871
4.474,214.239,214.239,214.239
4.474,203.739,203.739,203.739
4.48,221.3,218.3,224.3
4.518,212.706,211.206,214.206
4.565,201.588,200.088,203.088
4.589,211.315,211.315,211.315
4.589,204.415,204.415,204.415
4.612,200.071,198.071,202.071
4.659,202.353,200.353,204.353
4.702,206.557,206.557,206.557
4.702,200.557,200.557,200.557
4.706,199.235,197.735,200.735
4.753,199.118,197.618,200.618
4.8,208.2,206.7,209.7
4.815,209.363,209.363,209.363
4.815,204.063,204.063,204.063
4.838,206.906,205.406,208.406
4.875,207.312,205.812,208.812
4.894,213.165,211.665,214.665
4.925,211.132,211.132,211.132
4.925,202.632,202.632,202.632
4.932,210.171,208.171,212.171
4.96,212.2,210.7,213.7
4.988,212.529,211.029,214.029
5.035,211.412,209.912,212.912
5.035,212.264,212.264,212.264
5.035,202.864,202.864,202.864
5.082,213.494,211.994,214.994
5.129,211.776,209.776,213.776
5.142,205.858,205.858,205.858
5.142,201.058,201.058,201.058
5.176,212.859,211.359,214.359
5.2,205,193,217
5.214,207.165,205.665,208.665
5.224,201.092,180.925,221.258
5.224,201.092,180.925,221.258
5.248,207.412,207.412,207.412
5.248,200.912,200.912,200.912
5.271,211.124,209.624,212.624
5.286,235.414,214.616,256.213
5.286,235.414,214.616,256.213
5.294,201.869,183.653,220.086
5.294,201.869,183.653,220.086
5.299,209.153,207.653,210.653
5.336,209.459,207.959,210.959
5.353,205.926,205.926,205.926
5.353,195.826,195.826,195.826
5.365,207.588,205.588,209.588
5.412,207.471,205.971,208.971
5.456,210.6,210.6,210.6
5.456,197.6,197.6,197.6
5.459,203.353,201.853,204.853
5.506,205.535,204.035,207.035
5.534,206.465,204.965,207.965
5.557,208.432,208.432,208.432
5.557,199.632,199.632,199.632
5.572,211.071,209.571,212.571
5.609,209.976,208.476,211.476
5.657,208.821,208.821,208.821
5.657,203.922,203.922,203.922
5.666,212.035,210.035,214.035
5.694,209.765,208.265,211.265
5.741,209.947,208.447,211.447
5.755,210.068,210.068,210.068
5.755,205.068,205.068,205.068
5.788,209.029,207.529,210.529
5.851,213.871,213.871,213.871
5.851,206.271,206.271,206.271
5.854,209.565,208.065,211.065
5.902,204.58,195.544,213.616
5.902,204.58,195.544,213.616
5.911,204.824,201.824,207.824
5.929,208.376,206.876,209.876
5.945,209.329,209.329,209.329
5.976,210.059,208.559,211.559
6,211,205,217
6.024,214.141,212.641,215.641
6.038,217.642,217.642,217.642
6.038,213.242,213.242,213.242
6.052,220.471,218.971,221.971
6.095,204.045,187.219,220.872
6.095,204.045,187.219,220.872
6.108,222.729,221.229,224.229
6.128,218.609,218.609,218.609
6.128,213.209,213.209,213.209
6.142,219.014,214.225,223.804
6.142,219.014,214.225,223.804
6.146,203.635,202.135,205.135
6.193,204.818,203.318,206.318
6.212,218.671,217.171,220.171
6.212,245.232,229.934,260.531
6.212,245.232,229.934,260.531
6.217,219.129,219.129,219.129
6.217,213.429,213.429,213.429
6.259,218.853,217.353,220.353
6.278,181.356,170.471,192.241
6.278,181.356,170.471,192.241
6.304,220.702,220.702,220.702
6.304,213.602,213.602,213.602
6.306,220.735,219.235,222.235
6.324,180.741,168.334,193.148
6.324,180.741,168.334,193.148
6.344,224.041,222.541,225.541
6.347,218.229,206.111,230.347
6.347,218.229,206.111,230.347
6.362,224.694,223.194,226.194
6.389,222.527,222.527,222.527
6.389,208.327,208.327,208.327
6.4,227.7,224.2,231.2
6.447,220.882,219.382,222.382
6.472,216.103,216.103,216.103
6.472,202.804,202.804,202.804
6.494,204.965,202.965,206.965
6.541,207.647,206.147,209.147
6.553,209.43,209.43,209.43
6.553,208.731,208.731,208.731
6.588,207.829,192.829,222.829
6.632,211.207,211.207,211.207
6.632,211.308,211.308,211.308
6.635,209.412,207.412,211.412
6.682,208.994,206.994,210.994
6.709,207.734,207.734,207.734
6.709,213.234,213.234,213.234
6.729,208.176,206.176,210.176
6.758,210.106,208.606,211.606
6.776,208.659,207.159,210.159
6.784,209.51,209.51,209.51
6.784,211.21,211.21,211.21
6.8,208,200,216
6.814,214.965,212.965,216.965
6.852,202.071,200.571,203.571
6.857,210.233,210.233,210.233
6.857,210.834,210.834,210.834
6.889,205.776,204.276,207.276
6.918,205.406,203.906,206.906
6.928,209.405,209.405,209.405
6.928,208.605,208.605,208.605
6.965,210.088,208.588,211.588
6.997,208.424,208.424,208.424
6.997,205.624,205.624,205.624
7.012,201.671,200.171,203.171
7.059,210.953,209.453,212.453
7.064,207.289,207.289,207.289
7.064,210.29,210.29,210.29
7.106,207.435,205.435,209.435
7.128,219.101,219.101,219.101
7.128,211.401,211.401,211.401
7.146,200.88,198.809,202.952
7.146,200.88,198.809,202.952
7.153,208.818,206.818,210.818
7.19,205.359,205.359,205.359
7.19,208.559,208.559,208.559
7.2,206,204,208
7.205,201.436,199.617,203.254
7.205,201.436,199.617,203.254
7.219,207.553,206.353,208.753
7.229,208.777,206.58,210.973
7.229,208.777,206.58,210.973
7.25,206.162,206.162,206.162
7.25,206.462,206.462,206.462
7.266,202.635,201.035,204.235
7.308,203.009,203.009,203.009
7.308,207.009,207.009,207.009
7.322,205.994,204.494,207.494
7.341,201.847,200.347,203.347
7.36,200.6,199.1,202.1
7.364,208.201,208.201,208.201
7.364,206.801,206.801,206.801
7.393,205.94,202.216,209.664
7.393,205.94,202.216,209.664
7.4,212.588,207.498,217.677
7.4,212.588,207.498,217.677
7.417,200.637,200.637,200.637
7.417,206.637,206.637,206.637
7.435,205.412,201.412,209.412
7.469,203.116,203.116,203.116
7.469,205.016,205.016,205.016
7.473,205.318,203.818,206.818
7.511,209.224,206.224,212.224
7.518,202.039,202.039,202.039
7.518,197.939,197.939,197.939
7.558,204.906,203.706,206.106
7.564,200.904,200.904,200.904
7.564,205.904,205.904,205.904
7.567,205.282,204.082,206.482
7.591,203.481,203.054,203.909
7.591,203.481,203.054,203.909
7.6,203,195,211
7.608,201.711,201.711,201.711
7.608,206.111,206.111,206.111
7.624,200.241,198.941,201.541
7.65,202.561,202.561,202.561
7.65,207.161,207.161,207.161
7.671,200.424,198.924,201.924
7.69,202.052,202.052,202.052
7.69,209.752,209.752,209.752
7.718,202.706,201.206,204.206
7.727,201.285,201.285,201.285
7.727,207.985,207.985,207.985
7.755,199.812,198.512,201.112
7.762,203.659,203.659,203.659
7.762,206.659,206.659,206.659
7.774,199.565,198.065,201.065
7.795,204.074,204.074,204.074
7.795,205.574,205.574,205.574
7.812,202.471,200.971,203.971
7.825,208.829,208.829,208.829
7.825,204.43,204.43,204.43
7.83,238.754,216.757,260.751
7.83,238.754,216.757,260.751
7.853,211.725,211.725,211.725
7.853,202.625,202.625,202.625
7.859,211.553,210.053,213.053
7.878,209.162,209.162,209.162
7.878,202.562,202.562,202.562
7.902,210.638,210.638,210.638
7.902,202.138,202.138,202.138
7.906,209.835,208.335,211.335
