.094,.094,.094,201.765,199.265,204.265,199.01797718349076,1.2524977819440748,198.13217863915543,199.02191837308328,18.714323738429155
.122,.122,.122,218.694,214.694,222.694,221.86360932459505,1.625537169442146,220.6244407144385,221.86956418947096,23.124906811202944
.141,.141,.141,232.647,229.647,235.647,233.02991444677008,1.8786515756075817,231.52391606025301,233.03748702475212,25.991150202924455
.2,.2,.2,233,208,258,252.45824092900213,2.6645083656679045,249.97295206690893,252.47230148631513,34.36600872975328
.226,.226,.226,245.435,242.435,248.435,255.97139942798515,3.0107416820425654,252.97751892808628,255.9891050232355,37.843694357931696
.245,.245,.245,254.888,252.888,256.888,257.2165242647674,3.263723345650038,253.81966062126475,257.2372295079478,40.313748529311184
.264,.264,.264,256.341,253.841,258.841,257.58293991177794,3.51667265254974,253.7560280529382,257.6069446271583,42.727899426688765
.311,.311,.311,248.224,245.224,251.224,255.75417842466177,4.142234332084472,250.74463593525476,255.7877203599415,48.47966625343453
.376,.376,.376,250.059,247.059,253.059,249.4665391694154,5.00695119671908,242.53841797077285,249.51678044863394,55.97492639073607
.38,.38,.38,268.92,243.92000000000002,293.92,249.0015572615306,5.060146620592682,241.9446548654827,249.0529674637289,56.42033296249678
.414,.414,.414,251.565,249.065,254.065,244.86757011089657,5.512215797101292,236.66663008900858,244.92960501950077,60.137493516786215
.471,.471,.471,250.824,248.324,253.324,237.6594401071235,6.2696977551057484,227.34756919952085,237.74212622497467,66.10948104717302
.518,.518,.518,248.006,244.006,252.006,231.8801935315447,6.893871907369342,219.6557732245415,231.98264939883293,70.80849935302588
.546,.546,.546,243.635,241.635,245.635,228.61443657108452,7.26552492771092,215.181855614838,228.72985913778203,73.5179742750952
.565,.565,.565,239.588,237.588,241.588,226.49267884146767,7.517629946186378,212.21279531237397,226.61740517619563,75.32011014684481
.659,.659,.659,229.353,227.353,231.353,217.2685132893042,8.76374947375997,198.50419731325636,217.44518889086368,83.83040080882033
.66,.66,.66,250.75,225.75,275.75,217.18216949372334,8.77699525587834,198.36778714774613,217.3594497410271,83.9174902884123
.696,.696,.696,229.259,225.259,233.259,214.23744586846257,9.253681583322862,193.59175884288996,214.43720254444648,87.00703821516959
.894,.894,.894,222.465,219.465,225.465,203.12963434731572,11.869192181356786,171.65216766927207,203.476106885089,102.54576516169911
.941,.941,.941,220.647,216.647,224.647,201.53984817082346,12.488301855947999,167.36899919079067,201.92639273746227,105.90736832765184
.988,.988,.988,217.029,213.029,221.029,200.26500265563539,13.106668792242601,163.37687741427004,200.69343799808502,109.15519131377243
1.035,1.035,1.035,215.412,213.412,217.412,199.2680444247739,13.72425789375397,159.64802279556642,199.7401030930142,112.29403636436886
1.064,1.064,1.064,212.641,210.641,214.641,198.77679176054423,14.104920310392602,157.46749608721962,199.27659601563172,114.17835260280519
1.082,1.082,1.082,215.294,212.294,218.294,198.5154455807656,14.341034347698516,156.15722487745953,199.0327797130206,115.32834786832687
1.129,1.129,1.129,216.776,213.776,219.776,197.97715318245432,14.956963636448949,152.8818526409428,198.54134064081222,118.26225514697614
1.176,1.176,1.176,217.559,213.559,221.559,197.62639265872122,15.572011548721694,149.8017238515744,198.23894324519736,121.09960838830584
1.205,1.205,1.205,216.288,213.288,219.288,197.4930616748771,15.951054742319938,147.9907283740579,198.13617932399245,122.8037248162301
1.224,1.224,1.224,212.441,210.441,214.441,197.4370431799964,16.199200652045075,146.83894960118434,198.10047986167268,123.90141577949808
1.318,1.318,1.318,197.706,194.706,200.706,197.47790814100216,17.424544394011914,141.50966358843397,198.2451486192915,129.12099806817073
1.327,1.327,1.327,214.282,211.282,217.282,197.5063838457869,17.54165558644445,141.02919122431481,198.28384034144776,129.60288353152808
1.365,1.365,1.365,208.588,206.588,210.588,197.667544169893,18.03570924116943,139.0530232311496,198.48865163023453,131.60428732335973
1.459,1.459,1.459,197.553,188.553,206.553,198.31245563787238,19.254862327610155,134.4999769454947,199.24502449089744,136.33202164791075
1.506,1.506,1.506,207.835,205.335,210.335,198.74354701138785,19.862786651026816,132.3848041329491,199.73364206415488,138.58168845170206
1.525,1.525,1.525,209.188,206.188,212.188,198.9349737217866,20.108220491523255,131.55759496290395,199.94865416157128,139.47031287335994
1.553,1.553,1.553,205.318,202.318,208.318,199.23322658362545,20.4695675206725,130.3663130178277,200.28200560561004,140.75848591810472
1.6,1.6,1.6,201.8,198.8,204.8,199.7725903198823,21.07517394648262,128.43737750032523,200.88118577903217,142.86471514211783
1.61,1.61,1.61,217.83,192.83,242.83,199.89299017833508,21.203871935080972,128.03789697461286,201.01445646389536,143.30395518588776
1.619,1.619,1.619,195.153,192.153,198.153,200.0029065243404,21.31965324089068,127.68153247033865,201.13599934496028,143.69664207647295
1.647,1.647,1.647,198.082,191.082,205.082,200.35374584545443,21.679575340505107,126.59157914355232,201.52326779121458,144.90257042255223
1.694,1.694,1.694,200.365,197.365,203.365,200.9696938420232,22.28274152470204,124.82312132332892,202.20123247105397,146.87414718364576
1.807,1.807,1.807,201.982,198.982,204.982,202.557122870391,23.727674218029442,120.8572777549271,203.94212548987426,151.35494485847744
1.845,1.845,1.845,201.388,194.388,208.388,203.1154373750501,24.211867075415068,119.60620772712534,204.55340478059873,152.78284829899317
1.901,1.901,1.901,200.247,197.247,203.247,203.95307407440453,24.92379250770125,117.83135395560156,205.47031867733716,154.81781877019677
1.939,1.939,1.939,198.153,196.653,199.653,204.52873903263068,25.405763059135538,116.67102964300638,206.10060137441346,156.15292788229544
